Sta,CD,Member Elected,Party,PVI,Rank,Winner2012,Margin,Romney,Obama,Cong,Winner2008,Margin,McCain,Obama,Net%
FL,15,"ROSS, DENNIS (R)",REPUBLICAN,R+ 6,168,Romney,-7,53,46,,McCain,-7,53,46,0
FL,16,"BUCHANAN, VERN (R)",REPUBLICAN,R+ 6,177,Romney,-9,54,45,,McCain,-3,51,48,-3
FL,17,"ROONEY, THOMAS J. (R)",REPUBLICAN,R+10,124,Romney,-16,58,42,,McCain,-13,56,43,-1
FL,18,"Murphy, Patrick (D)",DEMOCRAT,R+ 3,212,Romney,-4,52,48,RD,Obama,-3,48,51,-4
FL,19,"RADEL, TREY (R)",REPUBLICAN,R+12,99,Romney,-22,61,39,,McCain,-15,57,42,-4
FL,20,"Hastings, Alcee L. (D)",DEMOCRAT,D+29,416,Obama,-66,17,83,,Obama,-63,19,81,2
FL,21,"Deutch, Theodore E. (D)",DEMOCRAT,D+10,321,Obama,-22,39,61,,Obama,-28,36,64,-3
FL,22,"Frankel, Lois (D)",DEMOCRAT,D+ 3,261,Obama,-10,45,55,,Obama,-14,43,57,-2
FL,23,"Wasserman Schultz, Debbie (D)",DEMOCRAT,D+ 9,317,Obama,-24,38,62,,Obama,-24,39,61,1
FL,24,"Wilson, Frederica S. (D)",DEMOCRAT,D+34,426,Obama,-75,12,88,,Obama,-73,14,86,2
FL,25,"DIAZ-BALART, MARIO (R)",REPUBLICAN,R+ 5,189,Romney,(2)#,51,49,,McCain,-10,52,47,2
FL,26,"Garcia, Jose Antonio ‰ÛªJoe‰Ûª (D)",DEMOCRAT,R+ 1,237,Obama,-7,46,53,,Obama,(1)#,49,50,3
FL,27,"ROS-LEHTINEN, ILEANA (R)",REPUBLICAN,R+ 2,229,Obama,-7,47,53,OR,McCain,(2)#,51,49,4
GA,1,"KINGSTON, JACK (R)",REPUBLICAN,R+ 9,141,Romney,-13,56,43,,McCain,-11,55,44,-1
GA,2,"Bishop, Sanford D., Jr. (D)",DEMOCRAT,D+ 6,289,Obama,-18,41,59,,Obama,-16,42,58,1
GA,3,"WESTMORELAND, LYNN (R)",REPUBLICAN,R+19,35,Romney,-33,66,33,,McCain,-30,65,34,-1
GA,4,"Johnson, ‰ÛªHank‰Ûª, Jr. (D)",DEMOCRAT,D+21,386,Obama,-48,26,74,,Obama,-45,27,73,1
GA,5,"Lewis, John (D)",DEMOCRAT,D+32,420,Obama,-67,16,83,,Obama,-70,15,84,-1
GA,6,"PRICE, TOM (R)",REPUBLICAN,R+14,77,Romney,-24,61,37,,McCain,-13,59,40,-2
GA,7,"WOODALL, ROB (R)",REPUBLICAN,R+14,80,Romney,-22,60,38,,McCain,-21,60,39,-1
GA,8,"SCOTT, AUSTIN (R)",REPUBLICAN,R+15,65,Romney,-24,62,38,,McCain,-24,61,38,0
GA,9,"COLLINS, DOUG (R)",REPUBLICAN,R+30,3,Romney,-58,78,21,,McCain,-51,75,24,-4
GA,10,"BROUN, PAUL C. (R)",REPUBLICAN,R+14,75,Romney,-26,63,36,,McCain,-22,58,41,-4
GA,11,"GINGREY, PHIL (R)",REPUBLICAN,R+19,29,Romney,-35,67,32,,McCain,-29,65,34,-3
GA,12,"Barrow, John (D)",DEMOCRAT,R+ 9,143,Romney,-12,55,44,RD,McCain,-12,56,44,0
GA,13,"Scott, David (D)",DEMOCRAT,D+16,362,Obama,-39,30,69,,Obama,-32,32,68,1
GA,14,"GRAVES, THOMAS ‰ÛªTOM‰Ûª (R)",REPUBLICAN,R+26,12,Romney,-48,73,25,,McCain,-44,71,28,-3
HI,1,"Hanabusa, Colleen W. (D)",DEMOCRAT,D+18,372,Obama,-41,29,70,,Obama,-42,28,70,-1
HI,2,"Gabbard, Tulsi (D)",DEMOCRAT,D+21,387,Obama,-45,27,71,,Obama,-48,25,73,-2
ID,1,"LABRADOR, RAUL R. (R)",REPUBLICAN,R+18,38,Romney,-33,65,32,,McCain,-27,63,35,-3
ID,2,"SIMPSON, MICHAEL K. (R)",REPUBLICAN,R+17,48,Romney,-31,64,33,,McCain,-24,61,37,-4
IL,1,"Rush, Bobby L. (D)",DEMOCRAT,D+28,408,Obama,-59,20,79,,Obama,-62,19,81,-2
IL,2,"Jackson, Jesse L., Jr. (D)",DEMOCRAT,D+29,413,Obama,-62,19,81,,Obama,-63,18,81,-1
IL,3,"Lipinski, Daniel William (D)",DEMOCRAT,D+ 5,279,Obama,-14,43,56,,Obama,-18,41,58,-2
IL,4,"Gutierrez, Luis V. (D)",DEMOCRAT,D+29,415,Obama,-64,17,81,,Obama,-62,18,81,0
IL,5,"Quigley, Mike (D)",DEMOCRAT,D+16,363,Obama,-34,32,66,,Obama,-41,29,70,-4
IL,6,"ROSKAM, PETER J. (R)",REPUBLICAN,R+ 4,203,Romney,-8,53,45,,Obama,-4,48,51,-6
IL,7,"Davis, Danny K. (D)",DEMOCRAT,D+36,431,Obama,-76,12,87,,Obama,-80,10,90,-2
