,ALAND,AWATER,CD113FP,CDSESSN,FUNCSTAT,GEOID,INTPTLAT,INTPTLON,LSAD,MTFCC,NAMELSAD,STATEFP,AREA,PERIMETER,COMPACTNESS
111,33247808095,858134102,4,113,N,604,37.9824523,-119.9279734,C2,G5200,Congressional District 4,6,3.498061686,12.30171346,0.29047
112,2.51472E+11,1862590113,0,113,N,5600,42.9918024,-107.5419255,C1,G5200,Congressional District (at Large),56,27.97170462,22.00173992,0.72613
113,9251205214,64511575,5,113,N,3705,36.1450801,-80.9605925,C2,G5200,Congressional District 5,37,0.932804197,8.711364419,0.15446
114,2218257923,116978590,9,113,N,3709,35.3796578,-80.8384298,C2,G5200,Congressional District 9,37,0.23165577,5.824360011,0.08581
115,11685645007,169738458,8,113,N,3708,35.1224465,-79.9514195,C2,G5200,Congressional District 8,37,1.172115772,8.129097052,0.22289
116,1423781240,19008602,12,113,N,3712,35.6462622,-80.4424707,C2,G5200,Congressional District 12,37,0.143590588,7.878725951,0.02907
117,386510677,28985919,8,113,N,5108,38.7795583,-77.1395037,C2,G5200,Congressional District 8,51,0.043075372,1.434358543,0.2631
118,19738596635,319956951,25,113,N,4825,31.5007907,-97.8159131,C2,G5200,Congressional District 25,48,1.904455352,12.26416897,0.15911
119,17745456535,368151097,3,113,N,2903,38.5781714,-91.563185,C2,G5200,Congressional District 3,29,1.872624,10.52901898,0.21227
120,22309097812,3786941632,2,113,N,1202,30.2827085,-84.7303769,C2,G5200,Congressional District 2,12,2.446706866,8.719345443,0.40441
121,1.79857E+11,1902737712,2,113,N,4102,43.8374944,-119.5968497,C2,G5200,Congressional District 2,41,20.35196462,23.99621799,0.44415
122,72281503211,12448770859,8,113,N,2708,47.2503395,-92.9638683,C2,G5200,Congressional District 8,27,10.06346582,19.57274731,0.33011
123,23871108234,1035157628,0,113,N,5000,44.0605418,-72.6733072,C1,G5200,Congressional District (at Large),50,2.798403064,9.869637379,0.36101
124,6346768975,40337123,8,113,N,3908,39.8994793,-84.1608142,C2,G5200,Congressional District 8,39,0.672703853,5.539069491,0.27552
125,15335019574,91843089,21,113,N,4821,30.0578898,-98.9753677,C2,G5200,Congressional District 21,48,1.442613794,9.853004474,0.18673
126,13150604154,386934603,22,113,N,3622,42.8707006,-75.6626639,C2,G5200,Congressional District 22,36,1.491504279,9.455028619,0.20966
127,4226042223,143468726,1,113,N,4001,36.2117411,-95.7895823,C2,G5200,Congressional District 1,40,0.437924885,5.157510689,0.20689
128,18586221769,403818887,2,113,N,2102,37.5446206,-85.9904901,C2,G5200,Congressional District 2,21,1.935938623,14.69588301,0.11264
129,4858920828,588333663,4,113,N,1204,30.4262532,-81.8642717,C2,G5200,Congressional District 4,12,0.511471334,7.047821858,0.1294
130,771293088,48280152,4,113,N,2404,39.0562471,-76.5924708,C2,G5200,Congressional District 4,24,0.085184997,3.407380823,0.0922
131,3836665614,2069875498,5,113,N,2405,38.472173,-76.711414,C2,G5200,Congressional District 5,24,0.609770353,4.922871971,0.31618
132,18818155805,61271908,5,113,N,805,38.8154076,-105.3441513,C2,G5200,Congressional District 5,8,1.958337776,8.135545378,0.37181
133,7190859822,170942497,7,113,N,5107,37.9680399,-77.7465299,C2,G5200,Congressional District 7,51,0.754819547,8.600973135,0.12822
134,8867751079,4923522837,98,113,N,7298,18.217648,-66.4107992,C3,G5200,Resident Commissioner District (at Large),72,1.17798876,7.427676382,0.26832
135,64822394957,75784519849,1,113,N,2601,46.1573045,-86.436912,C2,G5200,Congressional District 1,26,16.38109541,24.88839876,0.33232
136,198019966,1306931136,98,113,N,6098,-14.2638166,-170.6620902,C4,G5200,Delegate District (at Large),60,0.125911877,2.86248651,0.1931
137,24290304018,300333676,28,113,N,4828,27.8486342,-98.9136118,C2,G5200,Congressional District 28,48,2.253261125,14.34816453,0.13754
138,1.47847E+12,2.4487E+11,0,113,N,200,63.346191,-152.8370679,C1,G5200,Congressional District (at Large),2,313.9951335,252.0358032,0.06212
139,1.85805E+11,418733446,2,113,N,3502,33.3853203,-106.2994586,C2,G5200,Congressional District 2,35,18.04689264,23.83621774,0.39915
140,7464826304,404473149,6,113,N,2706,45.3368069,-93.8520551,C2,G5200,Congressional District 6,27,0.903311924,7.283979962,0.21395
141,17742951960,382802406,8,113,N,4708,35.8555657,-89.099842,C2,G5200,Congressional District 8,47,1.808684227,9.52833824,0.25034
142,6669407805,101725365,10,113,N,3710,35.4391869,-81.6293598,C2,G5200,Congressional District 10,37,0.672090175,6.202210253,0.21956
143,11334216706,290253457,4,113,N,2104,38.5689729,-84.4370062,C2,G5200,Congressional District 4,21,1.201629247,11.02782306,0.12417
144,17711051447,191403458,11,113,N,3711,35.5533033,-82.7877157,C2,G5200,Congressional District 11,37,1.779317006,10.40555467,0.20651
145,18456277442,1241924534,36,113,N,4836,30.429193,-94.4314897,C2,G5200,Congressional District 36,48,1.849631673,10.5600413,0.20843
146,1421003183,13619872,7,113,N,607,38.4758075,-121.2180632,C2,G5200,Congressional District 7,6,0.148117959,2.021702689,0.45539
147,1552724167,69754058,15,113,N,615,37.6556535,-121.8350295,C2,G5200,Congressional District 15,6,0.165632245,2.691049394,0.28742
148,4710457099,59161662,10,113,N,610,37.5863656,-121.0540832,C2,G5200,Congressional District 10,6,0.486514895,4.321563754,0.32736
149,3228602655,151410237,9,113,N,609,38.0108733,-121.3071466,C2,G5200,Congressional District 9,6,0.346750372,3.563087939,0.34322
150,21698843505,298027996,10,113,N,4210,41.372693,-76.5231891,C2,G5200,Congressional District 10,42,2.367575136,14.70373835,0.13761
151,8693287886,193073036,11,113,N,4211,40.8813886,-76.4517604,C2,G5200,Congressional District 11,42,0.94946912,9.55628604,0.13065
152,72745072212,1948576678,1,113,N,601,40.731988,-121.510516,C2,G5200,Congressional District 1,6,7.964865083,18.7560946,0.28451
153,16015380177,456761476,3,113,N,603,39.0319525,-122.0895732,C2,G5200,Congressional District 3,6,1.713615257,11.91688035,0.15163
154,50034996752,1235292625,1,113,N,501,35.2939086,-91.258306,C2,G5200,Congressional District 1,5,5.081486888,22.54734509,0.12561
155,1.28806E+11,382856406,3,113,N,803,38.7432544,-107.3448493,C2,G5200,Congressional District 3,8,13.39547186,22.11807214,0.34409
156,11750285154,189110867,2,113,N,5502,42.9842989,-89.7508561,C2,G5200,Congressional District 2,55,1.317684093,6.350327653,0.41061
157,44740459606,2227069166,4,113,N,4104,43.4904305,-123.2455428,C2,G5200,Congressional District 4,41,5.22580585,12.8473836,0.39786
158,4985164384,41038133,5,113,N,1805,40.2486316,-85.8695988,C2,G5200,Congressional District 5,18,0.532053132,4.42933826,0.34079
159,1.11952E+11,1081646928,2,113,N,1602,43.4439444,-113.3642747,C2,G5200,Congressional District 2,16,12.5744013,22.48894246,0.31243
160,22765045373,153166859,3,113,N,1903,41.2095427,-94.6403809,C2,G5200,Congressional District 3,19,2.460398642,8.390873334,0.43914
161,5564772382,255732262,6,113,N,4806,32.2350539,-96.6658786,C2,G5200,Congressional District 6,48,0.556879108,5.765482352,0.21052
162,10438608979,14487886618,1,113,N,2201,29.6663952,-89.8927543,C2,G5200,Congressional District 1,22,2.322904896,13.58270877,0.15822
163,10447644236,925888305,6,113,N,2206,30.2975751,-91.0248973,C2,G5200,Congressional District 6,22,1.066609361,13.46193872,0.07396
164,19092558796,1602399424,23,113,N,3623,42.344244,-77.8458079,C2,G5200,Congressional District 23,36,2.260797831,10.04243217,0.2817
165,196612894,12875417,10,113,N,3410,40.7089641,-74.2090452,C2,G5200,Congressional District 10,34,0.022323763,1.491059877,0.12618
166,2512822295,47246714,7,113,N,3407,40.6317476,-74.7895041,C2,G5200,Congressional District 7,34,0.272486674,4.113850368,0.20233
167,1308176314,68645266,11,113,N,3411,40.9020572,-74.4504622,C2,G5200,Congressional District 11,34,0.147145384,2.908571208,0.21857
168,141851306,37187528,8,113,N,3408,40.7230434,-74.1085887,C2,G5200,Congressional District 8,34,0.019082886,1.552400014,0.09951
169,3285391447,522179823,2,113,N,2202,30.0467435,-90.5684985,C2,G5200,Congressional District 2,22,0.356120103,8.944854911,0.05593
170,3893095550,99750500,8,113,N,2608,42.647773,-83.9453541,C2,G5200,Congressional District 8,26,0.438305744,4.122958242,0.32402
171,13644893134,518800036,3,113,N,4503,34.3638666,-82.3382037,C2,G5200,Congressional District 3,45,1.387912983,7.311905827,0.32622
172,26304372148,330254983,7,113,N,107,32.4492349,-87.6405014,C2,G5200,Congressional District 7,1,2.554258998,15.59460648,0.13199
173,347892469,1550515125,98,113,N,7898,18.2758499,-64.8903849,C4,G5200,Delegate District (at Large),78,0.162001051,2.608901162,0.2991
174,6381192573,625465336,1,113,N,3301,43.4578451,-71.1991344,C2,G5200,Congressional District 1,33,0.779279536,7.477555945,0.17514
175,16806770291,400787059,2,113,N,3302,43.7641775,-71.7213985,C2,G5200,Congressional District 2,33,1.923645374,12.59529223,0.15238
176,49858063620,807591521,4,113,N,5304,47.2945861,-119.7072288,C2,G5200,Congressional District 4,53,6.026420858,18.51129025,0.221
177,12971312237,462693958,12,113,N,1712,37.9933075,-89.4278909,C2,G5200,Congressional District 12,17,1.377821666,8.393567257,0.24576
178,18791975884,278079482,8,113,N,1808,38.7330167,-87.1993471,C2,G5200,Congressional District 8,18,1.975932162,10.68903742,0.21732
179,2119975176,145656210,15,113,N,1215,28.0441411,-82.0787039,C2,G5200,Congressional District 15,12,0.207926771,3.160684573,0.26155
180,4421704620,521087600,9,113,N,1209,28.1318105,-81.2016531,C2,G5200,Congressional District 9,12,0.453936216,4.222966205,0.31987
181,2227223576,24263799,8,113,N,2408,39.4222969,-77.2420034,C2,G5200,Congressional District 8,24,0.235545615,6.047025758,0.08095
182,827169353,41594190,3,113,N,2103,38.1892208,-85.6972712,C2,G5200,Congressional District 3,21,0.089338172,1.779595743,0.35449
183,6083648709,4835319595,5,113,N,2605,44.0818763,-83.6900106,C2,G5200,Congressional District 5,26,1.223673488,8.609205532,0.20747
184,6810378447,177859539,3,113,N,2603,42.7200275,-85.2372759,C2,G5200,Congressional District 3,26,0.767987507,6.279598213,0.24474
185,529413539,3029010,39,113,N,639,33.9403775,-117.8349361,C2,G5200,Congressional District 39,6,0.051920862,1.798973401,0.20161
186,1432686373,512378681,49,113,N,649,33.3147856,-117.3795192,C2,G5200,Congressional District 49,6,0.188258031,3.475986854,0.1958
187,185770424,2403817,46,113,N,646,33.790804,-117.8963627,C2,G5200,Congressional District 46,6,0.018318707,0.924327204,0.26943
188,855714414,5412289,45,113,N,645,33.7142584,-117.6683553,C2,G5200,Congressional District 45,6,0.08374947,1.799266621,0.32509
189,262777889,3823564,38,113,N,638,33.9404239,-118.0626291,C2,G5200,Congressional District 38,6,0.025998362,1.32846638,0.18512
